369,"Morele, dżem niskosłodzony"
370,"Morszczuk świeży"
371,"Mus jabłkowy"
372,"Musli z owocami suszonymi"
373,"Musli z rodzynkami i orzechami"
374,Musztarda
375,"Naleśniki z kapustą"
376,"Naleśniki z serem"
377,"Napój mleczny jogurtowy"
378,"Napój mleczny kakaowy"
379,"Napój owocowy gazowany"
380,Nektarynka
381,"Nerki wieprzowe"
382,"Nogi wieprzowe"
383,"Ocet winny"
384,Ogórek
385,"Ogórek kiszony"
386,"Olej kukurydziany"
387,"Olej lniany"
388,"Olej rzepakowy"
389,"Olej słonecznikowy"
390,"Olej sojowy"
391,"Oliwa z oliwek"
392,Oliwki
393,"Orzechy arachidowe"
394,"Orzechy laskowe"
395,"Orzechy nerkowca"
396,"Orzechy pistacjowe"
397,"Orzechy włoskie"
398,"Orzeszki ziemne"
399,Ostrygi
400,"Otręby pszenne"
401,"Ozory cielęce"
402,"Ozory wieprzowe"
403,Paluszki
404,Papaja
405,"Papryka czerwona"
406,"Papryka konserwowa"
407,"Paprykarz Szczeciński"
408,"Parówki dla dzieci Morlinki"
409,"Parówki popularne"
410,"Parówki z kurczaka"
411,Pasternak
412,"Pasztet popularny"
413,"Pasztet z drobiu"
414,Pączki
415,"Pepsi, Cola, napój"
416,"Pepsi, Cola light, napój"
417,"Pestki dyni"
418,"Pędy bambusa"
419,"Pędy bambusa, konserwa, odsączone"
420,"Pieczarka suszona"
421,"Pieczarka świeża"
422,"Pieczywo chrupkie pszenne Wasa"
423,"Pierogi leniwe mrożone"
424,"Pierogi ruskie mrożone"
425,"Pierogi z kapustą i grzybami mrożone"
426,"Pierogi z mięsem mrożone"
427,"Pierogi z serem mrożone"
428,"Pierogi z truskawkami mrożone"
429,"Piernik czekoladowy"
430,"Piersi bez skóry indycze"
431,"Piersi bez skóry z kurczaka"
432,"Piersi ze skórą z kurczaka"
433,"Pietruszka korzeń"
434,"Pietruszka liście"
435,Pikling
436,"Piwo bezalkoholowe"
437,"Piwo ciemne pełne"
438,"Piwo jasne mocne"
439,"Piwo jasne pełne"
440,"Pizza z pieczarkami i cebulą"
441,"Pizza z szynką"
442,"Planta, tłuszcz roślinny"
443,"Płatki jęczmienne"
444,"Płatki kukurydziane"
445,"Płatki kukurydziane Nestle Corn Flakes"
446,"Płatki owsiane"
447,"Płatki pszenne"
448,"Płatki żytnie"
449,"Polędwica wołowa"
450,Pomidor
451,Por
452,Pomarańcza
453,"Popcorn bez tłuszczu"
454,"Popcorn z tłuszczem"
455,"Porzeczki białe"
456,"Porzeczki czarne"
457,"Porzeczki czerwone"
458,"Powidła śliwkowe"
459,Poziomki
460,Precelki
461,"Prince Polo, wafel"
462,"Princessa, wafel"
463,"Przyprawa do zup Maggi"
464,"Pstrąg świeży"
465,"Ptyś z bitą śmietaną, ciastko"
466,"Pyzy z mięsem mrożone"
467,"Pyzy ziemniaczane mrożone"
468,Rabarabar
469,"Raffaello, czekoladki"
470,"Rama Classic, margaryna"
471,"Red Bull, napój"
472,Rodzynki
473,"Rostbef wołowy"
474,"Rozbratel wołowy"
475,"Ryż biały"
476,"Ryż brązowy"
477,"Ryż dziki amerykański"
478,"Ryż preparowany"
479,Rzeżucha
480,Rzodkiewka
481,"Salceson czarny"
482,"Salceson włoski"
483,Sałata
484,"Sandacz świeży"
485,"Sardynki w oleju, konserwa"
486,"Sardynki w sosie pomidorowym, konserwa"
487,Sarnina
488,"Schab surowy wieprzowy"
489,"Schab wędzony"
490,"Seler korzeń"
491,"Ser Feta"
492,"Ser pleśniowy Brie pełnotłusty"
493,"Ser pleśniowy Rokpol pełnotłusty"
494,"Ser podpuszczkowy Brie pełnotłusty"
495,"Ser podpuszczkowy Camembert tłusty"
496,"Ser podpuszczkowy Cheddar pełnotłusty"
497,"Ser podpuszczkowy Ementaler pełnotłusty"
498,"Ser podpuszczkowy Ementaler tłusty"
499,"Ser podpuszczkowy Gouda tłusty"
500,"Ser podpuszczkowy Mozarella tłusty"
501,"Ser podpuszczkowy Myśliwski pełnotłusty"
502,"Ser podpuszczkowy Parmezan"
503,"Ser podpuszczkowy Salami pełnotłusty"
504,"Ser podpuszczkowy Salami tłusty"
505,"Ser podpuszczkowy Tylżycki pełnotłusty"
506,"Ser podpuszczkowy Tylżycki tłusty"
507,"Ser topiony tłusty"
508,"Ser twarogowy chudy"
509,"Ser twarogowy półtłusty"
510,"Ser twarogowy pełnotłusty"
511,"Serca wieprzowe"
512,"Serdelki drobiowe"
513,"Serek Fromage naturalny"
514,"Serek homogenizowany truskawkowy"
515,"Serek homogenizowany waniliowy"
516,"Serek twarogowy ziarnisty"
517,Sernik
518,"Sernik z rodzynkami, ciasto"
519,"Serwatka płynna"
520,Sezamki
521,"Skrobia kukurydziana"
522,"Skrzydło bez skóry indycze"
523,"Słonecznik ziarno"
524,Słonina
525,Smalec
526,"Snickers, baton"
